date,type,address,city,zip,price,beds,baths,neighborhood,sqft,lotsize,year,hoa,url,mls,latitude,longitude
August-21-2019,condo,180 Magazine St Ph -3,Cambridge,02139,850000,2,1,Cambridgeport,1138,,1916,328,http://www.redfin.com/MA/Cambridge/180-Magazine-St-02139/unit-3/home/147610580,72515823,42.3571725,-71.1128917
August-22-2019,condo,34 Camp St #1,Cambridge,02140,650000,2,1,North Cambridge,950,,1904,175,http://www.redfin.com/MA/Cambridge/34-36-Camp-St-02140/unit-1/home/11580108,72525383,42.3987979,-71.1295655
August-22-2019,condo,395 Broadway Unit L3E,Cambridge,02139,505000,1,1,Mid Cambridge,537,,1935,357,http://www.redfin.com/MA/Cambridge/395-Broadway-02139/unit-L3E/home/11563375,72532991,42.3719346,-71.1068336
August-22-2019,condo,213 Harvard St Unit 1L,Cambridge,02139,740000,3,1,Area 4,1187,,1903,341,http://www.redfin.com/MA/Cambridge/213-Harvard-St-02139/unit-1L/home/11558146,72508039,42.367456,-71.098849
August-22-2019,singlefamily,69 Henderson St,Arlington,02474,1200000,4,4,East Arlington,2858,7808,1870,,http://www.redfin.com/MA/Arlington/69-Henderson-St-02474/home/8407717,72531967,42.4039328,-71.135301
August-22-2019,townhouse,17 Saint Mary Rd #17,Cambridge,02139,1790000,4,2.5,Cambridge,2096,,1886,175,http://www.redfin.com/MA/Cambridge/17-Saint-Mary-Rd-02139/unit-17/home/137604161,72536174,42.3712148,-71.1012399
August-23-2019,condo,7 Arlington St #46,Cambridge,02140,860000,2,1,Avon Hill,912,,1928,673,http://www.redfin.com/MA/Cambridge/7-Arlington-St-02140/unit-46/home/11578521,72513400,42.386622,-71.1199986
August-23-2019,condo,94 Hampshire St Unit A,Cambridge,02139,884000,2,1.5,Cambridge,1092,,1920,346,http://www.redfin.com/MA/Cambridge/94-Hampshire-St-02139/unit-A/home/167574198,72536004,42.3688045,-71.0951119
August-23-2019,condo,55 Howard St #3,Cambridge,02139,795000,2,1,Riverside,913,,1916,182,http://www.redfin.com/MA/Cambridge/55-Howard-St-02139/unit-3/home/167552678,72535502,42.3658699,-71.1111413
August-23-2019,condo,24 Madison Ave #1,Cambridge,02140,630000,2,1,North Cambridge,1060,,1913,250,http://www.redfin.com/MA/Cambridge/24-Madison-Ave-02140/unit-1/home/12428013,72512610,42.3996314,-71.1363817
August-23-2019,condo,192 Raymond St #6,Cambridge,02140,815000,2,2,Cambridge,1000,,2015,273,http://www.redfin.com/MA/Cambridge/192-Raymond-St-02140/unit-6/home/105535250,72521403,42.389298,-71.128848
